Posted Date,Reference Number,Payee,Address,Amount
11/26/2025,33086000000398179296708,"TRAVEL CREDIT","",91.17
11/25/2025,32920401050084112972750,"PAYMENT FROM CHK 8893 CONF#1fxp0hij7","",150.00
11/25/2025,24011345329100037420716,"DEPOP WWW.DEPOP.COMNY","WWW.DEPOP.COM NY ",-17.35
11/24/2025,24692165327106158743778,"SEPHORA CAPE COD HYANNIS MA","HYANNIS       MA ",-43.57
11/24/2025,24011345326100110720381,"DEPOP WWW.DEPOP.COMNY","WWW.DEPOP.COM NY ",-22.72
11/24/2025,24793385326001186111077,"CorePower Yoga - Dubce San FranciscoCA","San Francisco CA ",-82.33
11/22/2025,24445005326600186719296,"City of Cambridge 704-817-2500 NC","704-817-2500  NC ",-3.05
11/22/2025,24692165325104498021650,"SQ *CICADA COFFEE BAR Cambridge MA","Cambridge     MA ",-18.19
11/22/2025,24692165325104447222466,"SQ *TRIANGLE COFFEE Watertown MA","Watertown     MA ",-12.30
11/21/2025,24011345324100130713640,"DEPOP WWW.DEPOP.COMNY","WWW.DEPOP.COM NY ",-18.30
11/21/2025,24011345324100125197023,"DEPOP WWW.DEPOP.COMNY","WWW.DEPOP.COM NY ",-13.72
11/20/2025,32420401050072672388132,"PAYMENT FROM SAV 4024 CONF#gchmqufry","",200.00
11/20/2025,24137465323100230353889,"TST* VERVE COFFEE ROASTERSAN FRANCISCOCA","SAN FRANCISCO CA ",-8.31
11/20/2025,24692165323102441682265,"AMAZON MKTPL*B06E06TZ2 Amzn.com/billWA","Amzn.com/bill WA ",-19.02
11/19/2025,24765015323554122055634,"EVERGREEN MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-8.82
11/19/2025,24445005323000706053735,"NIJIYA MARKET #62 SAN FRANCISCOCA","SAN FRANCISCO CA ",-3.34
11/19/2025,24445005323000706053818,"WALGREENS #2152 SAN FRANCISCOCA","SAN FRANCISCO CA ",-39.09
11/19/2025,24493985323168265792979,"IT'S M3 TIME SAN FRANCISCOCA","SAN FRANCISCO CA ",-35.00
11/19/2025,24291285323000000091012,"VALENCIA WHOLE FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.46
11/19/2025,24011345322100132353835,"LS CANDY DOLL BEAUTY 141-55039288 CA","141-55039288  CA ",-50.02
11/19/2025,24011345322100131640323,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-8.56
11/19/2025,24011345322100105781988,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-6.93
11/18/2025,24291285322000000085304,"VALENCIA WHOLE FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-25.46
11/18/2025,24692165321100917141297,"SQ *RITUAL COFFEE ROASTERSan FranciscoCA","San Francisco CA ",-11.25
11/18/2025,24036295321716986914189,"SPOTIFY 877-778-1161 NY","877-778-1161  NY ",-11.99
11/17/2025,24692165321100246467371,"SQ *LA TAQUERIA San FranciscoCA","San Francisco CA ",-18.49
11/17/2025,24011345321100032059145,"CLASSPASS* MONTHLY CLASSPASS.COMMT","CLASSPASS.COM MT ",-39.00
11/17/2025,24765015320551519996068,"PURPLE RICE. SAN FRANCISCOCA","SAN FRANCISCO CA ",-28.30
11/17/2025,24000775320100022613192,"V.INK @CLARA.TATS VENUE.INK/@CLNY","VENUE.INK/@CL NY ",-33.00
11/17/2025,24137465320001318434505,"USPS PO 0568240047 SAN FRANCISCOCA","SAN FRANCISCO CA ",-6.69
11/17/2025,74906415319243350002376,"IONOS Inc. 005926787706-K877-4612631 PA","877-4612631   PA ",30.81
11/17/2025,24231685319550030945983,"SAFEWAY #2870 OAKLAND CA","OAKLAND       CA ",-19.16
11/17/2025,24692165319109249553354,"SQ *NOWHERE San FranciscoCA","San Francisco CA ",-169.46
11/17/2025,24011345320100006782269,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-7.26
