Posted Date,Reference Number,Payee,Address,Amount
10/28/2025,24765015301529777143303,"EVERGREEN MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-6.99
10/28/2025,24011345301100019361583,"DEPOP WWW.DEPOP.COMNY","WWW.DEPOP.COM NY ",-50.95
10/28/2025,24692165300104496567463,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-7.00
10/28/2025,24692165300104444627385,"SQ *BLUE BOTTLE COFFEE Berkeley CA","Berkeley      CA ",-6.34
10/28/2025,24164075300091016221509,"TARGET 00032029 BERKELEY CA","BERKELEY      CA ",-2.39
10/28/2025,24137465300500920688295,"TRADER JOE S #226 SAN FRANCISCOCA","SAN FRANCISCO CA ",-81.88
10/27/2025,24388865299143898379280,"Patreon* Membership Internet CA","Internet      CA ",-10.00
10/27/2025,24801975300528552240351,"INDIAN SPICES SAN FRANCISCOCA","SAN FRANCISCO CA ",-15.96
10/27/2025,24692165296100526566711,"SQ *RITUAL COFFEE ROASTERSan FranciscoCA","San Francisco CA ",-11.00
10/27/2025,24692165296100752408687,"SQ *FLYWHEEL COFFEE ROASTSan FranciscoCA","San Francisco CA ",-5.50
10/27/2025,24692165296100737700463,"SQ *ROSE GOLD'S TATTOO & San FranciscoCA","San Francisco CA ",-18.99
10/27/2025,24291285300000000085128,"VALENCIA WHOLE FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-43.25
10/27/2025,24692165294108642944243,"SQ *RITUAL COFFEE ROASTERSan FranciscoCA","San Francisco CA ",-11.00
10/27/2025,24692165295109670634705,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-5.79
10/27/2025,24011345300100008394885,"DEPOP WWW.DEPOP.COMNY","WWW.DEPOP.COM NY ",-35.76
10/27/2025,24036295299718398042953,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-19.93
10/27/2025,24692165299103543558858,"SQ *OUT THERE COFFEE ROASSan FranciscoCA","San Francisco CA ",-7.58
10/27/2025,24011345299100117422232,"DEPOP WWW.DEPOP.COMNY","WWW.DEPOP.COM NY ",-54.37
10/27/2025,24011345299100114671757,"DEPOP WWW.DEPOP.COMNY","WWW.DEPOP.COM NY ",-31.33
10/27/2025,24011345299100100741663,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-7.58
10/27/2025,24692165293107877489008,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-5.79
10/27/2025,24692165292107016281838,"SQ *SIDEWALK JUICE SAN FRANCISCOCA","SAN FRANCISCO CA ",-11.00
10/27/2025,24692165292107251390310,"SQ *NAILIT San FranciscoCA","San Francisco CA ",-115.00
10/27/2025,24692165291106124185775,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-12.25
10/27/2025,24011345299100062400811,"SP CREDO BEAUTY 184-46927336 CA","184-46927336  CA ",-66.92
10/27/2025,24692165298102635782492,"SQ *DEVIL'S TEETH BAKING San FranciscoCA","San Francisco CA ",-19.01
10/27/2025,24011345298100136294233,"LS CANDY DOLL BEAUTY 141-55039288 CA","141-55039288  CA ",-61.96
10/27/2025,24692165298102255858846,"TST*DUBOCE PARK CAFE San FranciscoCA","San Francisco CA ",-6.92
10/24/2025,24137465297001683795505,"WHOLEFDS CAS #10396 SAN FRANCISCOCA","SAN FRANCISCO CA ",-33.72
10/24/2025,24122595296030020594927,"PANCHITAS RESTAURANT #2 SAN FRANCISCOCA","SAN FRANCISCO CA ",-18.19
10/24/2025,24011345297100010751770,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-7.91
10/24/2025,24011345296100137279532,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-7.91
10/23/2025,24036295296714800381652,"YELP-GRUBHUB*PHOSTAR 8775851085 NY","8775851085    NY ",-20.86
10/23/2025,24164075295091016324169,"TARGET 00032029 BERKELEY CA","BERKELEY      CA ",-6.16
10/23/2025,24793385295001075124071,"CorePower Yoga - Dubce San FranciscoCA","San Francisco CA ",-129.99
10/22/2025,24291285295000000091933,"VALENCIA WHOLE FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-22.47
10/22/2025,29520401050075109104464,"PAYMENT FROM SAV 4024 CONF#1f5nwk19c","",1247.57
10/21/2025,24765015294522005173530,"EVERGREEN MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-14.67
10/21/2025,24137465293200250527457,"TST* VERVE COFFEE ROASTERSAN FRANCISCOCA","SAN FRANCISCO CA ",-9.00
10/21/2025,24765015293521078286261,"MIKES LIQUORS & GROCERIE SAN FRANCISCOCA","SAN FRANCISCO CA ",-11.58
10/21/2025,24011345293100096052329,"DEPOP WWW.DEPOP.COMNY","WWW.DEPOP.COM NY ",-34.62
10/20/2025,24228995292030092649301,"GUERRERO MARKET AND DELI SAN FRANCISCOCA","SAN FRANCISCO CA ",-2.60
10/20/2025,24137465291501140246519,"TST* TARTINE BAKERY - SANSAN FRANCISCOCA","SAN FRANCISCO CA ",-12.50
10/18/2025,24036295290716967870340,"SPOTIFY 877-778-1161 NY","877-778-1161  NY ",-11.99
10/18/2025,24431065290309080022011,"DYMK, INC. SAN FRANCISCOCA","SAN FRANCISCO CA ",-15.20
10/17/2025,24692165289104049483619,"SQ *RITUAL COFFEE ROASTERSan FranciscoCA","San Francisco CA ",-11.00
10/16/2025,24137465288300735686667,"GOLDEN NATURAL FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-12.99
10/16/2025,24692165288102918565715,"TST*DUMPLING STORY - VAL San FranciscoCA","San Francisco CA ",-35.78
10/15/2025,24692165288102720032615,"TST*SIGHTGLASS COFFEE - San FranciscoCA","San Francisco CA ",-7.28
10/15/2025,24692165288102600871439,"SQ *NEEDLES & PENS San FranciscoCA","San Francisco CA ",-47.80
10/15/2025,24291285288000000094456,"VALENCIA WHOLE FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-4.99
10/15/2025,24064665288100002174096,"HICKORY CLAY HICKORYCLAY.CCA","HICKORYCLAY.C CA ",-340.00
