Posted Date,Reference Number,Payee,Address,Amount
09/27/2025,24116415269493005085729,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-2.40
09/27/2025,24116415269493005057157,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-2.40
09/27/2025,24137465269100234562044,"TST* VERVE COFFEE ROASTERSAN FRANCISCOCA","SAN FRANCISCO CA ",-7.35
09/26/2025,24116415268491844151703,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-7.10
09/26/2025,24116415268491844050236,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.20
09/25/2025,24765015268491644149578,"EVERGREEN MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-9.97
09/25/2025,24692165268103635671400,"SQ *ARIZMENDI BAKERY San FranciscoCA","San Francisco CA ",-3.60
09/25/2025,24692165267103377072479,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-7.72
09/25/2025,24011345267100142616137,"BODYROK BODYROK.COM CA","BODYROK.COM   CA ",-20.00
09/24/2025,24692165267102750134229,"SQ *LOOK AT ME (LASH EXTESan FranciscoCA","San Francisco CA ",-129.80
09/24/2025,24291285267000000098346,"VALENCIA WHOLE FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-27.96
09/24/2025,24011345266100168711631,"DEPOP WWW.DEPOP.COMNY","WWW.DEPOP.COM NY ",-22.15
09/24/2025,24116415266489469081686,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.20
09/24/2025,24116415266489469036144,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.20
09/24/2025,24692165266102208694312,"TST*RALEIGHS - MEZZO Berkeley CA","Berkeley      CA ",-14.61
09/23/2025,26620401050082647713306,"PAYMENT FROM SAV 4024 CONF#1dj6es19z","",200.00
09/23/2025,26620401050082647627639,"PAYMENT FROM SAV 4024 CONF#3v1iqaaa3","",713.83
09/23/2025,24000775265100180966355,"SNACK* CHICHA SAN CHEN 186-68682146 CA","186-68682146  CA ",-16.89
09/23/2025,24793385265001019570070,"CorePower Yoga - Dubce San FranciscoCA","San Francisco CA ",-129.99
09/22/2025,24445005264300369298564,"SPO*VESUVIOCAFE SAN FRANCISCOCA","SAN FRANCISCO CA ",-8.00
09/22/2025,24036295264716987066756,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-24.85
09/22/2025,24692165264100728312805,"SQ *SIDEWALK JUICE SAN FRANCISCOCA","SAN FRANCISCO CA ",-10.00
09/22/2025,24137465264501118981314,"TRADER JOE S #078 SAN FRANCISCOCA","SAN FRANCISCO CA ",-81.22
09/22/2025,24137465264100475231387,"TST* GOOD GOOD CULTURE CLSAN FRANCISCOCA","SAN FRANCISCO CA ",-56.76
09/22/2025,24137465264100475231205,"TST* DALVA SAN FRANCISCOCA","SAN FRANCISCO CA ",-41.71
09/22/2025,24765015264487028341546,"EVERGREEN MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-6.98
09/22/2025,24692165263100038759456,"TST*TADAIMA SF San FranciscoCA","San Francisco CA ",-8.42
09/22/2025,24036295263714833858055,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-8.96
09/22/2025,24445005263100148155908,"CLIPPER SYSTEMS MOBILE #1CONCORD CA","CONCORD       CA ",-3.00
09/22/2025,24011345263100121442376,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-8.89
09/22/2025,26320401050045415849183,"PAYMENT FROM SAV 4024 CONF#18v1dzh4g","",250.00
09/20/2025,24445005263600172800949,"ALAMO VALLEY FAIR RETAIL 512-546-3332 CA","512-546-3332  CA ",-10.00
09/20/2025,24793385263000478073040,"Vagaro_*Lash M SAN FRANCISCOCA","SAN FRANCISCO CA ",-129.00
09/20/2025,24692165262101941589544,"SQ *LOOK AT ME (LASH EXTESan FranciscoCA","San Francisco CA ",-132.00
09/20/2025,24692165262101514766727,"TST*SOHN 650-515-6523 CA","650-515-6523  CA ",-22.82
09/20/2025,24692165262101514766172,"TST*SOHN 650-515-6523 CA","650-515-6523  CA ",-4.35
09/19/2025,24116415261483586066907,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.20
09/19/2025,24116415261483586022512,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.20
09/18/2025,24036295260714335040064,"SPOTIFY 877-778-1161 NY","877-778-1161  NY ",-11.99
09/18/2025,24011345260100286108252,"BODYROK 170-85299393 CA","170-85299393  CA ",-19.58
09/18/2025,24692165260100006159906,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-7.44
09/17/2025,24137465260001588204804,"WHOLEFDS CAS #10396 SAN FRANCISCOCA","SAN FRANCISCO CA ",-57.05
09/17/2025,24116415259481185112340,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.20
09/17/2025,24116415259481185033678,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.20
09/16/2025,24431065259288291705664,"TENDER GREENS BERK OLO olo.com CA","olo.com       CA ",-19.79
09/16/2025,24445005258100113967011,"CLIPPER SYSTEMS MOBILE #1CONCORD CA","CONCORD       CA ",-3.00
09/15/2025,24765015258479869055994,"EVERGREEN MARKET SAN FRANCISCOCA","SAN FRANCISCO CA ",-19.93
09/15/2025,24692165258107605553201,"SQ *LOARDS ICE CREAM & SASAN FRANCISCOCA","SAN FRANCISCO CA ",-5.99
09/15/2025,24251385257030117173953,"KITCHEN STORY SAN FRANCISCOCA","SAN FRANCISCO CA ",-78.39
09/15/2025,24692165257107445357657,"SQ *SPRO MISSION DOLORES/SAN FRANCISCOCA","SAN FRANCISCO CA ",-9.54
09/15/2025,24036295257714913914222,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-7.98
09/15/2025,24492165257100106584380,"SP MINISTRY OF SCENT 141-58964665 CA","141-58964665  CA ",-64.09
09/15/2025,24116415257478375546396,"CTLP*PHOTO-MATICA OAKLAND CA","OAKLAND       CA ",-6.50
09/15/2025,24036295256714737308818,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-17.95
09/15/2025,24011345256100184065030,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-6.93
09/15/2025,24116415256477815074887,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.20
09/15/2025,24116415256477815022928,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.20
09/15/2025,24445005256100147653571,"CLIPPER SYSTEMS MOBILE #1CONCORD CA","CONCORD       CA ",-3.00
09/13/2025,24765015255476583282931,"MIKES LIQUORS & GROCERIE SAN FRANCISCOCA","SAN FRANCISCO CA ",-10.58
09/12/2025,24164075254091008232312,"TARGET 00027664 SAN FRANCISCOCA","SAN FRANCISCO CA ",-12.42
09/12/2025,24906415254238378085041,"IONOS Inc. 877-4612631 PA","877-4612631   PA ",-31.88
09/12/2025,24291285255000000113446,"VALENCIA WHOLE FOODS SAN FRANCISCOCA","SAN FRANCISCO CA ",-17.27
09/12/2025,24116415254475345084915,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-7.10
09/12/2025,24011345254100104234486,"BAYWHEE*SUBSCRIPTION LYFT.COM CA","LYFT.COM      CA ",-16.27
09/12/2025,24011345254100089396755,"LYFT *BAYWHEELS BIKE LYFT.COM CA","LYFT.COM      CA ",-2.28
09/11/2025,24122595253030020194760,"PANCHITAS RESTAURANT #2 SAN FRANCISCOCA","SAN FRANCISCO CA ",-21.76
09/11/2025,24692165253103734998602,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-6.00
09/10/2025,24116415252472974030071,"CLIPPER TRANSIT FARE SAN FRANCISCOCA","SAN FRANCISCO CA ",-5.20
09/10/2025,24036295252716121274153,"UBER *TRIP HELP.UBER.COMCA","HELP.UBER.COM CA ",-17.82
09/09/2025,24431065252283504595538,"TENDER GREENS BERKELEY BERKELEY CA","BERKELEY      CA ",-19.79
09/09/2025,24427335251740286533320,"THE MISSION GROCERY SAN FANCISCO CA","SAN FANCISCO  CA ",-37.03
09/09/2025,24692165251101967276953,"SQ *ELAICHI CO. Berkeley CA","Berkeley      CA ",-6.62
09/09/2025,24011345251100108360835,"DEPOP WWW.DEPOP.COMNY","WWW.DEPOP.COM NY ",-76.04
09/08/2025,24011345251100054621941,"LYFT *RIDE SUN 12AM LYFT.COM CA","LYFT.COM      CA ",-17.36
